Gene Name,Functional Category
Rv2762c,conserved-hypothetical
Rv2771c,conserved-hypothetical
Rv2774c,conserved-hypothetical
Rv2777c,conserved-hypothetical
Rv2778c,conserved-hypothetical
Rv2787,conserved-hypothetical
Rv2795c,conserved-hypothetical
Rv2797c,conserved-hypothetical
Rv2798c,conserved-hypothetical
Rv2802c,conserved-hypothetical
Rv2803,conserved-hypothetical
Rv2804c,conserved-hypothetical
Rv2805,conserved-hypothetical
Rv2807,conserved-hypothetical
Rv2808,conserved-hypothetical
Rv2809,conserved-hypothetical
Rv2811,conserved-hypothetical
Rv2813,conserved-hypothetical
Rv2816c,conserved-hypothetical
Rv2817c,conserved-hypothetical
Rv2819c,conserved-hypothetical
Rv2820c,conserved-hypothetical
Rv2821c,conserved-hypothetical
Rv2822c,conserved-hypothetical
Rv2823c,conserved-hypothetical
Rv2824c,conserved-hypothetical
Rv2825c,conserved-hypothetical
Rv2826c,conserved-hypothetical
Rv2827c,conserved-hypothetical
Rv2828c,conserved-hypothetical
Rv2828A,conserved-hypothetical
Rv2837c,conserved-hypothetical
Rv2840c,conserved-hypothetical
Rv2842c,conserved-hypothetical
Rv2844,conserved-hypothetical
Rv2854,conserved-hypothetical
Rv2862c,conserved-hypothetical
Rv2868c,conserved-hypothetical
Rv2879c,conserved-hypothetical
Rv2880c,conserved-hypothetical
Rv2891,conserved-hypothetical
Rv2896c,conserved-hypothetical
Rv2897c,conserved-hypothetical
Rv2898c,conserved-hypothetical
Rv2901c,conserved-hypothetical
Rv2908c,conserved-hypothetical
Rv2910c,conserved-hypothetical
Rv2915c,conserved-hypothetical
Rv2917,conserved-hypothetical
Rv2923c,conserved-hypothetical
Rv2926c,conserved-hypothetical
Rv2927c,conserved-hypothetical
Rv2929,conserved-hypothetical
Rv2954c,conserved-hypothetical
Rv2955c,conserved-hypothetical
Rv2956,conserved-hypothetical
Rv2960c,conserved-hypothetical
Rv2970A,conserved-hypothetical
Rv2974c,conserved-hypothetical
Rv2975c,conserved-hypothetical
Rv2983,conserved-hypothetical
